,precision,recall,f1,rouge-1,rouge-2,rouge-l,bleu,cosine_similarity,sentence_movers_similarity,latency,memory_usage
0,0.466527408,0.370890977,0.413248167,0.43414787,0.207141843,0.423543075,0.092564034,0.683331402,0.736334279,918.5321636,13701.12891
0,0.472928454,0.378260926,0.420330326,0.441241626,0.215500638,0.431744673,0.090300649,0.687368652,0.752076368,888.0425467,13783.16797
0,0.470904249,0.3843838,0.423267845,0.445568397,0.216111405,0.435850643,0.093028417,0.699059306,0.748970473,910.0148497,13837.75391
0,0.470584313,0.384835293,0.423411974,0.44751569,0.217463075,0.438471537,0.092181399,0.699735446,0.751154655,880.8649118,13870.9375
0,0.468863877,0.383872998,0.422132987,0.446539339,0.217154727,0.437452968,0.092025511,0.700063799,0.750956164,864.9406447,13885.60156
