,precision,recall,f1,rouge-1,rouge-2,rouge-l,bleu,cosine_similarity,sentence_movers_similarity,latency,memory_usage
0,0.446540317,0.386888545,0.414579675,0.435185448,0.189772612,0.414129634,0.123178713,0.738521375,0.600072032,305.2178969,43588.56641
0,0.46043529,0.402474219,0.429508151,0.448054274,0.207159729,0.430174614,0.13440574,0.755464941,0.606943225,267.0735469,43548.44922
0,0.467859615,0.414269168,0.439436547,0.457085133,0.215551583,0.439835348,0.141335682,0.758046512,0.613571814,285.7897463,43507.95703
0,0.473301302,0.421264746,0.445769551,0.463300849,0.218577097,0.446101654,0.14500335,0.762522015,0.616380323,292.0889642,43500.82422
0,0.472099325,0.422373176,0.445854045,0.462877586,0.219419952,0.446400219,0.145567485,0.763689607,0.616912819,291.5682762,43506.08594
